m.09gjxn	 people person education	m.02zd2b
m.0fzxc2	 film performance actor	m.05pdh86
m.02j2x9	 education education student	m.01w5m
m.0jrpf	 periodicals newspaper circulation area newspapers	m.09d984
m.05njyy	 education educational institution students graduates	m.0q100
m.03vndq	 people person education	m.05krk
m.05zl0	 education educational institution students graduates	m.015ky1
m.03lv3s	 film performance actor	m.03wy8t
m.02z6p5f	 people person place lived	m.052p7
m.0d05w3	 location imports and exports imported from	m.0j4b
m.0x0d	 baseball batting statistics team	m.01wdyt
m.02n45z	 sports sports team roster player	m.0jm8l
m.03ksy	 education education institution	m.0bwx3
m.0489v9k	 base popstra location vacationers	m.02dlfh
m.0585m6	 education education student	m.01w5m
m.024zbx	 people person nationality	m.09c7w0
m.04csnh3	 people deceased person place of death	m.0rql_
m.06r6gh	 people person education	m.01pl14
m.03ksy	 education education institution	m.0ff_84
m.0h7h6	 location location people born here	m.0f8pj5
m.0b9n82	 sports sports team owner teams owned	m.0hn6d
m.0jmbv	 basketball basketball player stats team	m.06s_sw
m.03lcwb	 people person place lived	m.01smm
m.0vbk	 location location contains	m.0486htp
m.04ftdq	 education education institution	m.0c9mb9
m.0157m	 government political appointer appointees	m.01xbj3
m.01n1pp	 education education institution	m.05xvcv
m.05qtj	 people place lived location	m.0htbn
m.03qhnx	 location location containedby	m.03rjj
m.061xq	 baseball batting statistics team	m.02kgxr
m.06c62	 people place lived location	m.0fcqj
m.01vz9r	 people place lived location	m.01kgxf
m.03rjj	 base popstra vacation choice location	m.0202l6
m.09_z2	 people person education	m.07tg4
m.05v5t7h	 people person employment history	m.07l1c
m.03lt8g	 base popstra celebrity supporter	m.01f31d
m.0kx4m	 business employer employees	m.0343h
m.07hv9s	 location adjoining relationship adjoins	m.01x_6s
m.01n951	 education educational institution students graduates	m.09jdjd
m.06b2mz	 baseball baseball player batting stats	m.061xq
m.0f5m5s	 people person nationality	m.09c7w0
m.02643jj	 education education student	m.03ksy
m.0h7bq3	 government politician government positions held	m.088vb
m.0jml5	 sports sports league draft pick team	m.0bsr_5
m.06rkgg	 business company founders	m.017nt
m.08l9xw	 sports sports team roster player	m.0jm3b
m.03cv_d	 location location containedby	m.01pj7
m.02_286	 location location people born here	m.014zy
m.09c7w0	 location location contains	m.0r4nw
m.0nryt	 location location contains	m.0t0n5
m.04ct7g	 people person place of birth	m.02_286
m.0g9ths	 education education student	m.01ljpm
m.01n_g9	 location location containedby	m.0105y2
m.016vg8	 base popstra celebrity dated	m.0mdyn
m.052nd	 education education institution	m.01p5m7
m.04gpr5w	 people person place of birth	m.0c8tk
m.01vrz41	 base popstra friendship participant	m.01n9_r
m.0l2rj	 location location containedby	m.09c7w0
m.017f3m	 tv tv program regular cast	m.016kft
m.03qhntg	 people person place lived	m.02_286
m.02h5ccf	 business company headquarters	m.01n7q
m.09nmth	 people person education	m.05zl0
m.05pdh86	 film film release date s	m.05qx1
m.0hcj4	 education education student	m.07x4c
m.0cymp	 location location adjoin s	m.0n5j_
m.0gcgd	 influence influence node influenced by	m.0gcjf
m.01438g	 people person religion	m.092bf5
m.0f2zc	 people person religion	m.02vxy_
m.02xxcw	 people person nationality	m.02jx1
m.03zzb8	 base schemastaging athlete extra salary	m.01j48s
m.06rpd	 sports professional sports team draft picks	m.063xt3
m.04fzk	 base popstra shopping choice shopper	m.01b39j
m.0cx2qq	 american football football player rushing	m.05g49
m.0m66w	 base popstra friendship participant	m.01_xr7
m.02zvkt	 sports pro athlete teams	m.051vz
m.0d060g	 location mailing address country	m.026_sx9
m.06n3y	 location partial containment relationship partially contained by	m.0f8l9c
m.0bhj0z	 education educational institution students graduates	m.0b9vqn
m.02qvr8	 people person education	m.01kvrz
m.07_dn	 base schemastaging organization extra phone number	m.09c7w0
m.0x67	 people ethnicity people	m.03f3_p3
m.048vsl_	 location location containedby	m.0d0x8
m.04ly1	 people place lived location	m.02qs65f
m.01q5_m	 people person place lived	m.029mpb
m.078lk	 location location contains	m.0dyfvk
m.05292	 people person place of birth	m.0cr3d
m.0r0f7	 people place lived location	m.03t83k
m.039gfz	 base schemastaging organization extra phone number	m.02j71
m.026g757	 education education institution	m.03lpt4
m.02fz1g	 base schemastaging organization extra phone number	m.0chghy
m.0dd8qc	 sports sports team roster player	m.05m_8
m.0rv97	 location location people born here	m.0cky22
m.0qyzb	 people place lived location	m.074kpd
m.052781	 people person nationality	m.09c7w0
m.02g8h	 business employment tenure person	m.023znp
m.03bb4x	 people person education	m.03ksy
m.025jfl	 film film distributor films distributed	m.0h1x5f
m.0cqt41	 sports professional sports team draft picks	m.01zg3c
m.014nx0	 people person ethnicity	m.041rx
m.02_981_	 business employment tenure person	m.03sc8
m.080h2	 people place lived location	m.03ytvl
m.0dgj14	 people person nationality	m.07ylj
m.0c1kr	 people person place lived	m.05qtj
m.07b_l	 location location contains	m.04bx8q2
m.047dgbn	 people person nationality	m.027rn
m.0r5lz	 base biblioness bibs location country	m.09c7w0
m.062qg	 people place lived location	m.03hn5b7
m.0jgd	 olympics olympic participating country athletes	m.06qjgc
m.04ymd8w	 people person place lived	m.05d49
m.0jmcv	 sports professional sports team owner s	m.024t0y
m.0bgrr0	 location hud county place place	m.0bgrr0
m.03pnyr	 base twinnedtowns town twinning twinned towns	m.01n4nd
m.01w3yd	 people person place of birth	m.08nxv1
m.02qkt	 location location contains	m.016zwt
m.02n0j_	 people person place lived	m.0qr4n
m.03z19	 organization non profit registration registering agency	m.0164vd
m.071vr	 celebrities legal entanglement location	m.07k32r
m.0jmm4	 basketball basketball player stats team	m.05j45j
m.05v8c	 location location contains	m.05bf7l
m.0d3k14	 people person education	m.08kml_
m.0g7_9f	 sports sports team roster player	m.07l4z
m.015701	 location partial containment relationship partially contained by	m.02552b
m.015dvx	 government politician government positions held	m.09c7w0
m.04bczkj	 location location containedby	m.0fc_9
m.060307	 baseball baseball player batting stats	m.02d02
m.01jmz5b	 music artist label	m.015_1q
m.07tgn	 education education institution	m.029yw7
m.0cynv	 people person nationality	m.015fr
m.02gcr9	 location location containedby	m.09c7w0
m.07ylj	 government government position held jurisdiction of office	m.0d1b_
m.0xrdh	 location location containedby	m.05fjf
m.0h0g9r	 people person place of birth	m.02_286
m.02_286	 people place lived location	m.041mt
m.0jgd	 location country languages spoken	m.06nm1
m.083dgs	 music artist label	m.02bh8z
m.01l33l	 people place lived location	m.05drp3
m.06_wwmc	 people person nationality	m.09c7w0
m.03m1n	 sports professional sports team draft picks	m.05tw8l
m.09wj5	 base popstra celebrity canoodled	m.01pk8v
m.0713r	 baseball batting statistics team	m.034wsl
m.0h7x	 business company membership member	m.02jxk
m.0104r9	 people place lived location	m.04y6s6h
m.014zcr	 base popstra celebrity dated	m.06mlc5
m.02zd2b	 education educational institution students graduates	m.04c49w
m.09c7w0	 location mailing address country	m.0460n_
m.02bxqm	 people sibling relationship sibling	m.02ndbd
m.09v7q8	 location location containedby	m.09c7w0
m.02q2vbl	 people person place lived	m.02cft
m.016cff	 tennis tennis player matches won	m.015z4j
m.06b2mz	 people person education	m.04bfg
m.052p7	 people place lived location	m.028t4w
m.07l8x	 baseball baseball team current manager	m.086djf
m.04ms0z	 sports pro athlete teams	m.01slc
m.06whf	 influence influence node influenced	m.0683n
m.07t65	 base nobelprizes nobel prize winner nobel honor	m.0498f
m.015qnh	 film performance film	m.08sz0k
m.06pdk	 baseball baseball player batting stats	m.01d6g
m.0487md1	 location location containedby	m.09c7w0
m.0g6zr3	 education education student	m.07wlf
m.03hpkp	 education educational institution students graduates	m.027qddn
m.02jx1	 location location people born here	m.040ydz
m.06hdk	 people place lived location	m.02c5bp
m.0d4sr3	 people person place of birth	m.0d4k2
m.03hntnk	 people person place lived	m.06c62
m.0gk2h	 dataworld gardening hint split to	m.0206k5
m.04zv_w	 people person education	m.01c333
m.0jhy9	 location location contains	m.0rnlj
m.09c7w0	 government governmental jurisdiction governing officials	m.0204x1
m.07l24	 american football player passing statistics team	m.04pz7h
m.0490y9l	 location location containedby	m.09c7w0
m.073bb	 influence influence node influenced by	m.041_y
m.083p7	 government government position held appointed by	m.09c7w0
m.037mh8	 education field of study students majoring	m.07tds
m.0fqw3z	 sports sports team roster player	m.07147
m.0rh5f	 location hud county place county	m.0m2mk
m.01xxb6	 education education student	m.0lfgr
m.0298yz	 people person employment history	m.03ksy
m.0vmt	 location mailing address state province region	m.07926w
m.09c7w0	 location mailing address country	m.05th69
m.05mph	 location location contains	m.0z8qr
m.0c0nrm	 people person place of birth	m.01snm
m.07t65	 organization membership organization members	m.04vs9
m.073550	 people person place of birth	m.02_286
m.013_gz	 people person spouse s	m.02wpkg
m.04jpl	 people place lived location	m.026d77
m.02hp6p	 organization non profit organization registered with	m.03z19
m.0cdh3k	 american football football player receiving	m.05g3v
m.0cvyp	 geography river cities	m.0n6dc
m.05_74k	 people person place lived	m.0cr3d
m.0cr3d	 location location people born here	m.0gn593
m.09vgcd	 people person nationality	m.09c7w0
m.0gsgr	 business employer employees	m.03cqm2
m.04jpl	 location location people born here	m.0412c96
m.0px7v	 baseball baseball player batting stats	m.05xvj
m.08n6_q	 business company headquarters	m.04ykg
m.07zyy7	 people deceased person place of death	m.030qb3t
m.05j0s4	 people person place lived	m.0y1rf
m.0bw87	 base popstra celebrity dated	m.02kz_
m.0412c96	 education education student	m.07tgn
m.02s62q	 education education institution	m.0fkrbs
m.0j6rt	 people person place lived	m.05qtj
m.05bnhr	 sports pro athlete teams	m.0713r
m.038p0t	 education education student	m.03ksy
m.01hxs4	 celebrities celebrity celebrity friends	m.0h7pj
m.0553j8	 business company headquarters	m.07z1m
m.04g4n	 film performance actor	m.0h1xnc
m.02qwqn8	 people person place of birth	m.0vm5t
m.01vvb4m	 base popstra dated participant	m.0bx_q
m.0854b	 influence influence node influenced	m.0ktf5
m.04bh9hk	 location location containedby	m.0n2sh
m.046bjz	 people person nationality	m.09c7w0
m.02m9jp	 education education institution	m.0bh6ln
m.051vz	 baseball batting statistics team	m.05cxr9
m.04rwx	 education educational institution students graduates	m.02wt9k
m.0893w8	 music artist label	m.015_1q
m.041rx	 people ethnicity people	m.05zwl4
m.05dbf1	 people person religion	m.03_gx
m.02c_4	 american football player rushing statistics team	m.0bfs_x
m.01w5m	 education education institution	m.0b4nq4
m.03_ss2	 people person nationality	m.09c7w0
m.01rmn9	 people person place of birth	m.0lg0r
m.05cskg	 base schemastaging organization extra phone number	m.07ssc
m.01b_d4	 education education institution	m.03bxnrq
m.0m2hs	 location location contains	m.026zl_3
m.048kw	 location location partiallycontains	m.0d2kt
m.06c6l	 location partial containment relationship partially contains	m.0d060g
m.02jsrt	 people person place of birth	m.06_kh
m.02_286	 people marriage location of ceremony	m.05n2sf
m.04jpl	 location location contains	m.01g0p5
m.04j3_8	 education education student	m.01j_cy
m.03v0t	 location location contains	m.0sfvy
m.04tgp	 government political district representatives	m.01fvcx
m.019rg5	 people place lived location	m.016zr6
m.01n4w	 location location contains	m.0r9l3
m.03hj6hb	 people person nationality	m.09c7w0
m.0k3hn	 location us county hud county place	m.0tz4t
m.07b_l	 location location contains	m.0fts3g
m.024vtg	 olympics olympic medal honor medalist	m.02wkm0
m.03ksy	 education educational institution students graduates	m.07xr6w
m.0chrx	 location location contains	m.02z7rld
m.051q5	 sports sports team roster team	m.016b04
m.01tnfb	 people person place lived	m.019fh
m.094jv	 people place lived location	m.031296
m.049v2h	 sports pro athlete teams	m.0x0d
m.04b5_jf	 location location containedby	m.05fkf
m.087pzn	 people person education	m.01j_cy
m.0278ylf	 people person nationality	m.09c7w0
m.0jnlm	 base schemastaging team venue relationship team	m.02nshs
m.05xtv2	 people person place of birth	m.02_286
m.0496001	 location location containedby	m.04ly1
m.048sy11	 location location containedby	m.02xry
m.07tgn	 education educational institution students graduates	m.02z863k
m.010bnr	 people place lived location	m.04xcf6
m.01_k5z	 education education student	m.03ksy
m.071vr	 people marriage location of ceremony	m.01v3bn
m.0840w	 business company membership organization	m.04hhv
m.0cwtm	 people person religion	m.092bf5
m.010tkc	 location location containedby	m.081yw
m.0nb_v	 location location adjoin s	m.0d2kt
m.025sytz	 business employer employees	m.03crtr
m.01ypc	 sports professional sports team draft picks	m.02gr81
m.065zr	 location location contains	m.01hf6p
m.0h1mt	 base popstra celebrity dated	m.0gs1_
m.0bjs2r	 people person profession	m.02y5kn
m.05_xks	 people person nationality	m.09c7w0
m.03nf04	 olympics olympic athlete medals won	m.01gct2
m.01n7q	 location mailing address state province region	m.055z7
m.027qk4	 film performance actor	m.0p3_y
m.04swd	 location location people born here	m.022q61
m.019ftf	 education education student	m.029d_
m.0289q	 sports sports team roster team	m.0cx3f1
m.07t58	 government government position held governmental body	m.0852gg
m.025y7s9	 business employment tenure person	m.04sylm
m.01yf40	 location location people born here	m.02kf61
m.03pczf	 people person sibling s	m.03pcz2
m.02dtg	 location location adjoin s	m.0vrmb
m.018436	 people person nationality	m.09c7w0
m.0f1lt	 people person nationality	m.09c7w0
m.0f2sq	 location location people born here	m.0flpy
m.0501s6	 location neighborhood neighborhood of	m.02_286
m.07ssc	 military casualties combatant	m.0f8l9c
m.01j_cy	 education education institution	m.028l8p
m.07wk90	 baseball baseball player batting stats	m.06x68
m.031y2	 location mailing address citytown	m.0cfjp
m.0841zn	 people person nationality	m.0345h
m.03cw136	 people person education	m.02zd2b
m.03kll1	 education education student	m.012vwb
m.0104l1	 location hud county place place	m.0104l1
m.0290v1	 people person place lived	m.0fqby
m.0289q	 american football player game statistics team	m.04f3r3
m.030qb3t	 film film regional release date film release region	m.0c296
m.03c973r	 people person nationality	m.06qd3
m.01slc	 baseball baseball team historical managers	m.05bxw4
m.0jm5b	 basketball basketball historical coach position team	m.05j45j
m.02z4c31	 people person education	m.015fsv
m.0r3f_	 location location containedby	m.0l2q3
m.01p8s	 location location containedby	m.04pnx
m.01mpwj	 education educational institution students graduates	m.0f942t
m.02y5kn	 people profession people with this profession	m.0fkdp4
m.0x67	 people ethnicity people	m.01rwb1
m.0414hw	 people person profession	m.02y5kn
m.0ffx6h	 baseball baseball player batting stats	m.051vz
m.03v1s	 location location contains	m.0snsx
m.02xry	 people place lived location	m.04h9j6
m.0jmmn	 sports professional sports team draft picks	m.01b1mj
m.092vjs	 business employment tenure person	m.07wj1
m.0ks67	 education educational institution students graduates	m.05cmt8
m.0pm6w	 education education student	m.04hgpt
m.0gknnr	 education education student	m.01n951
m.07v6r9	 people person nationality	m.09c7w0
m.0fsv2	 travel travel destination tourist attractions	m.06hx1q
m.06pf40	 location location containedby	m.03lrc
m.06qbg0	 people person nationality	m.07ssc
m.0208bk	 education education student	m.08815
m.09c7w0	 location location contains	m.0qyqq
m.0gdqsl	 people person nationality	m.09c7w0
m.0100xy	 location location people born here	m.02jhww
m.01zn9q	 people person nationality	m.082fr
m.02wkm0	 olympics olympic medal honor medalist	m.027lhj
m.02g98s	 business company phone number	m.0d05w3
m.09r5cv	 people person nationality	m.0chghy
m.0fn9m8	 education education student	m.015zyd
m.040x5b	 basketball basketball coach previous teams	m.0jm3b
m.0mw93	 location location contains	m.013klx
m.028t43	 people person education	m.01jsk6
m.09vhcq	 people person nationality	m.0d060g
m.06x68	 base schemastaging team venue relationship team	m.06k1v5
m.0345h	 location location contains	m.018fc9
m.02y9bj	 education educational institution students graduates	m.0c7qrp
m.05fjf	 location location contains	m.0xlrk
m.0g72r	 influence influence node influenced by	m.0zm1
m.0524v	 location location people born here	m.0pwb
m.026dpm	 people family country	m.09c7w0
m.011fg3	 location location containedby	m.09c7w0
m.05k7sb	 location statistical region religions	m.01lp8
m.01ym2x	 base schemastaging athlete extra coaches	m.098gbt
m.02g0gf	 education educational institution campus educational institution	m.02g0gf
m.015y3j	 location location containedby	m.05tbn
m.032mx	 government government agency jurisdiction	m.09c7w0
m.0dyjz	 base aareas schema administrative area administrative children	m.0k33p
m.0xhjk	 location location containedby	m.059g4
m.02xry	 location location contains	m.0rr1s
m.0168cl	 broadcast artist content	m.03gbwrg
m.01d8pr	 base schemastaging organization extra phone number	m.03rt9
m.0y34j	 location location people born here	m.04fl4r
m.03v0t	 location location contains	m.048_x2x
m.02hhtj	 base popstra celebrity dated	m.01pgk0
m.02z3t2k	 olympics olympic athlete country	m.09c7w0
m.021fbmj	 location location containedby	m.09c7w0
m.01vg13	 education education institution	m.0511yj
m.0cwnvk	 american football football player games	m.0wsr
m.05fjf	 government political district representatives	m.09c7w0
m.028rwr	 people person place lived	m.0h7h6
m.059rby	 people place lived location	m.02y_n5
m.03h64	 people place lived location	m.026vh3
m.013807	 education educational institution students graduates	m.01wz01
m.03ksy	 education education institution	m.04_r7k
m.01slc	 baseball batting statistics team	m.02d4zp
m.0cqt41	 baseball batting statistics team	m.07tdm2
m.04gd98	 people person place lived	m.0d7_n
m.05gj9c	 people person profession	m.02h6fbs
m.02r251z	 people person nationality	m.09c7w0
m.0lft	 people person place lived	m.018ryl
m.05trb8	 celebrities rivalry rival	m.0227vl
m.056ws9	 business employer employees	m.02rq9n
m.0sq2v	 location location people born here	m.0171lb
m.05mph	 location administrative division first level division of	m.09c7w0
m.02fjzt	 education education institution	m.069f2v
m.0s4_r	 location location containedby	m.0nvrd
m.068ys2	 sports sports team roster player	m.05g3b
m.09bkqc	 sports pro athlete teams	m.04mjl
m.0693th	 people person education	m.07wrz
m.015f7	 base popstra celebrity dated	m.0j1yf
m.09c7w0	 location location contains	m.0r172
m.0c6_j8	 business company phone number	m.09c7w0
m.063dzb	 sports sports team roster player	m.01y49
m.05qtj	 location location people born here	m.035wj_
m.06202g	 people person nationality	m.09c7w0
m.059g4	 location location contains	m.02pg6z3
m.04jp8v	 people deceased person place of death	m.0cc56
m.015_1q	 music record label artist	m.016kqk
m.0d6lp	 location location people born here	m.02ktf7
m.02q4r	 people person education	m.05y5mb
m.013yq	 location mailing address citytown	m.01ph31
m.0nbwf	 location location people born here	m.02w7hk
m.0f9btm	 people person nationality	m.09c7w0
m.0chghy	 location location contains	m.05l5q_
m.0486jjh	 location location containedby	m.0vbk
m.03q2n6	 olympics olympic athlete medals won	m.0hmcg
m.0265sl2	 people person education	m.09s5q8
m.056fvh	 people person place of birth	m.0cr3d
m.02hdt4	 education educational institution students graduates	m.02q87n7
m.01dhkt	 olympics olympic medal honor medalist	m.09c7w0
m.04p7zk6	 location location containedby	m.0rj0z
m.06x68	 baseball batting statistics team	m.0c0nb4
m.07szy	 education education institution	m.030b93
m.022ynm	 location location containedby	m.07ssc
m.01bm_	 education educational institution students graduates	m.06ffm6
m.05tbn	 location mailing address state province region	m.02fk36
m.0x67	 people ethnicity people	m.01jcy_
m.01ky8y	 business company headquarters	m.05k7sb
m.05fkf	 location location contains	m.0yj50
m.016wkh	 education education student	m.06pwq
m.02s22	 geography river cities	m.02d4g9
m.08_d4x	 people person education	m.0trv
m.021hkl	 people place lived location	m.0k269
m.03gwbj	 people person place of birth	m.0fvzg
m.01gq0b	 base popstra celebrity vacations in	m.03gh4
m.036pdk	 symbols namesake named after	m.01n23f
m.01x73	 location mailing address state province region	m.039ch_
m.06xnt	 influence influence node influenced	m.0c1jh
m.04205z	 people person spouse s	m.060j8b
m.02p8v8	 people person education	m.01pq4w
m.06c74r	 people person nationality	m.0d0vqn
m.0dpsf	 location location containedby	m.073q1
m.0rkfp	 location location containedby	m.09c7w0
m.0c1j_	 base popstra vacation choice vacationer	m.0160w
m.02_286	 location location contains	m.03m54hd
m.0228nq	 baseball baseball player batting stats	m.04mjl
m.0zlt9	 location location people born here	m.01p_jcw
m.059qw	 location adjoining relationship adjoins	m.017jq
m.0b_zw	 people deceased person place of death	m.07qzv
m.025939	 organization membership organization members	m.02hy5d
m.016fnb	 base popstra celebrity vacations in	m.0156q
m.015klf	 people person nationality	m.09c7w0
m.013xrm	 people ethnicity people	m.05trb8
m.01j4p1	 sports sports league draft pick player	m.0512p
m.0743z6	 base schemastaging organization extra phone number	m.06nm1
m.01d6yk	 people person nationality	m.02jx1
m.0z8jw	 location location containedby	m.05mph
m.01ksr1	 film actor film	m.028bfsc
m.020ddc	 location location containedby	m.01m6py
m.02qbxdp	 education education student	m.01vs5c
m.04f5jr	 sports pro athlete teams	m.05tg3
m.015fsv	 education education institution	m.04p381
m.048whn0	 location location containedby	m.09c7w0
m.06gq_	 education education student	m.07tgn
m.04zztny	 government politician government positions held	m.02mjmr
m.01r93l	 base popstra dated participant	m.05dbf
m.03v1s	 location location contains	m.01_cl93
m.06n3md	 base popstra celebrity friendship	m.03b7gw
m.0177dl	 travel travel destination tourist attractions	m.03qcds
m.048cl	 influence influence node influenced	m.01c581
m.03s5t	 location location contains	m.099ty
m.02r4jjh	 location location containedby	m.05kkh
m.0mwtm	 location administrative division second level division of	m.09c7w0
m.076jgt	 people person place lived	m.0yx74
m.07b2hp	 education education student	m.03ksy
m.03_hdh	 sports tournament event competitor events competed in	m.04jbmvx
m.05kllk	 basketball basketball player player statistics	m.0jm4b
m.022q32	 celebrities celebrity celebrity friends	m.01qn8k
m.0b_dy	 people person nationality	m.07ssc
m.07ssc	 location location contains	m.01vc3y
m.0t5hn	 location location containedby	m.0488g
m.014zfs	 influence influence node influenced	m.019vgs
m.08815	 education education institution	m.02ph993
m.03v0t	 location mailing address state province region	m.0221wv
m.027sc94	 people person place lived	m.0s69k
m.02jt1k	 people person place lived	m.01n7q
m.0cbg_1	 education education institution	m.0h4rb7
m.01jbx1	 tv tv regular personal appearance person	m.02nrqjz
m.02qbxdp	 people person education	m.01vs5c
m.06pwq	 education educational institution students graduates	m.02rbm2
m.0d6lp	 location location people born here	m.014v5b
m.01j7jm	 base popstra celebrity friendship	m.03f5spx
m.01g079	 symbols name source namesakes	m.09kvv
m.019mjs	 people person nationality	m.0345h
m.0149xx	 people person place of birth	m.01gf5
m.0cb5jk	 people person place of birth	m.0cc56
m.0l2tk	 education educational institution students graduates	m.028nfm
m.06jp4q	 people person place of birth	m.0f2tj
m.01qygl	 base schemastaging organization extra phone number	m.09c7w0
m.0tvzg	 location location people born here	m.0415ly_
m.0n5fz	 location location contains	m.0xnb1
m.030qb3t	 base popstra arrest location	m.01w9ph_
m.02t_vx	 film actor film	m.0c57yj
m.06nrt	 location adjoining relationship adjoins	m.05fky
m.0666m6	 base popstra celebrity dated	m.04__f
m.0f4krs	 business company headquarters	m.09c7w0
m.02s_mh	 base schemastaging organization extra phone number	m.09c7w0
m.059rby	 location mailing address state province region	m.02z_b
m.09sc87	 people person education	m.08815
m.02_7t	 education education major field of study	m.0pspl
m.07_dn	 business person company	m.05fj8v
m.04jpl	 travel travel destination tourist attractions	m.01hb3
m.0yvsg	 location hud county place county	m.0n2q0
m.01mc11	 people place lived location	m.013x2h
m.09yrh	 base popstra celebrity insult perpetrator	m.0f4vbz
m.0s4l_	 base biblioness bibs location state	m.03v0t
m.01sn3	 government government position held jurisdiction of office	m.01_pgn
m.04wmf_	 people deceased person place of death	m.0cc56
m.01445t	 people profession people with this profession	m.01jzhl
m.0xn7b	 people place lived location	m.01xcrz
m.02__7n	 education education student	m.017z88
m.0vbk	 location location contains	m.0486n5c
m.04dz3p6	 people person nationality	m.0d05w3
m.030dk2	 spaceflight astronaut space agency	m.05f4p
m.03d8d41	 people person education	m.01jq0j
m.06_0xd	 people person place of birth	m.0r639
m.041rx	 people ethnicity people	m.0gjq6
m.02mhfy	 people person place of birth	m.0yvjx
m.038s0n	 people person education	m.01nnsv
m.021y1s	 location mailing address state province region	m.02bmwp
m.06gg99	 location location containedby	m.06c6l
m.02rj2jz	 olympics olympic athlete affiliation athlete	m.09c7w0
m.09h3q0	 people person place of birth	m.068p2
m.01wbcsf	 education education student	m.08815
m.0nbwf	 location hud county place place	m.0nbwf
m.0571m	 film film country	m.0f8l9c
m.041_y	 influence influence node influenced	m.042xh
m.0f00f	 influence influence node peers	m.0hqgp
m.09qr6	 people person place lived	m.030qb3t
m.0341n5	 people person nationality	m.09c7w0
m.0cm_6l	 people person place of birth	m.0ftlx
m.0bwfn	 education educational institution students graduates	m.079zqj
m.07ssc	 location country administrative divisions	m.095l0
m.03swmf	 education education student	m.026036
m.03ksy	 education educational institution students graduates	m.03h31c
m.02_286	 location mailing address citytown	m.08fhy9
m.01d8pr	 base schemastaging organization extra phone number	m.06t2t
m.04hzj	 business company membership member	m.07t65
m.051q4v	 people person place of birth	m.0l0mk
m.098d2	 people person nationality	m.0345h
m.07h34	 location mailing address state province region	m.02z6wl
m.0fm0k1	 people person profession	m.0c5lg
m.0d1djb	 people person education	m.01q8hj
m.07wh1	 military military service military force	m.040x5b
m.0sy44	 film film directed by	m.013zyw
m.0bqc_	 protected sites governing body of protected sites protected sites governed	m.06hx1q
m.05kkh	 people place lived location	m.01q5t3
m.01rxqt	 base schemastaging organization extra phone number	m.02vzc
m.0d234	 people place lived location	m.01rr1b
m.06cx81	 people person education	m.04ftdq
m.02_jg	 influence influence node influenced by	m.0877pg
m.0c_hh	 influence influence node influenced by	m.0448r
m.0dl4z	 military military conflict combatants	m.01hnp
m.0yzzb	 location mailing address citytown	m.05mv4
m.01445t	 people profession people with this profession	m.02x_fm
m.026v261	 people person education	m.01j_5k
m.03q43g	 people person education	m.0bsnm
m.09kvv	 education educational institution students graduates	m.03rqww
m.09c7w0	 government governmental jurisdiction governing officials	m.0b697g
m.0cjl6s	 people person place lived	m.0fpzwf
m.0hmcg	 base dancingwiththestars contestant professional dance partner	m.0bj1kt
m.07ymr5	 education education student	m.0bwfn
m.02633rd	 people person nationality	m.09c7w0
m.097hft	 sports pro athlete teams	m.01y3v
m.0dprg	 location location people born here	m.03_mxr
m.08815	 education education institution	m.069m15
m.08815	 education education institution	m.076537
m.0dqhzt	 people deceased person place of death	m.031y2
m.030qb3t	 people place lived location	m.09zfnc
m.01snm	 location location people born here	m.049brx
m.0414vb	 people person nationality	m.09c7w0
m.0btpx	 base popstra dated participant	m.01mqc_
m.09y3kg	 sports pro athlete teams	m.05g76
m.0chrx	 people place lived location	m.01ym2x
m.05dq_	 business company board members	m.02w_x8j
m.03d660c	 location location containedby	m.09c7w0
m.015qh	 military military combatant military conflicts	m.0chghy
m.05fjf	 location mailing address state province region	m.02qlddz
m.03rt9	 location country administrative divisions	m.02_7_d
m.050ks	 location location contains	m.025vzhv
m.018t8f	 education education institution	m.026h3lg
m.05km3r	 sports sports team roster player	m.0jm8l
m.012gyf	 education education institution	m.01y4xy
m.01vrlqd	 people person place of birth	m.0cr3d
m.06pwq	 education education institution	m.02prxsh
m.01z215	 location location contains	m.01pk8b
m.028t11	 people person place lived	m.0nlh7
m.026vcc	 education educational institution students graduates	m.0dz_sj
m.027km86	 american football football player games	m.05tfm
m.08fhy9	 business company headquarters	m.059rby
m.0l1k8	 location administrative division second level division of	m.07ssc
m.0cwx_	 education education institution	m.0738jq
m.03qmbg	 people person nationality	m.09c7w0
m.01pqy_	 base popstra dated participant	m.01pllx
m.0424m	 government politician government positions held	m.09c7w0
m.04gd8j	 education education institution	m.012gr9
m.057yk8	 people person place lived	m.04jpl
m.043nv1z	 business employer employees	m.09jtmg
m.0r_rd	 location location containedby	m.03gh4
m.04r935	 people person place lived	m.02_286
m.06bw5	 education education institution	m.06y3r
m.047n1hr	 location location containedby	m.09c7w0
m.02gt89	 people person nationality	m.09c7w0
m.0337zp	 people person nationality	m.09c7w0
m.03ksy	 education educational institution students graduates	m.01_pwp
m.03l295	 education education student	m.037fqp
m.07fj_	 location location adjoin s	m.078lk
m.0y8r3	 base popstra fashion choice designer	m.01_njt
m.02x3jsm	 people person nationality	m.09c7w0
m.0713r	 sports sports team roster team	m.03tjdg
m.07n39	 base godparents godparent godchildren	m.086sj
m.07ccs	 education education institution	m.06b9c_
m.0xl71	 location location people born here	m.02wtsl_
m.02pc9l4	 people person place lived	m.0cc56
m.07tds	 business employer employees	m.03d5022
